Date,Pred
2024-01-31,-6.598138709266072
2024-02-01,-6.2713222503663
2024-02-02,-6.536491640114939
2024-02-03,-6.752646272031371
2024-02-04,-6.80644505480779
2024-02-05,-6.845043774381743
2024-02-06,-6.757713437659634
2024-02-07,-6.797127786401029
2024-02-08,-6.903235678581996
2024-02-09,-6.857903032722108
2024-02-10,-6.715205891738636
2024-02-11,-6.850878091441926
2024-02-12,-6.811384978403096
2024-02-13,-6.446770340655512
2024-02-14,-6.47883997690213
2024-02-15,-6.6830499922384625
2024-02-16,-6.471920820893027
2024-02-17,-6.481265200805109
2024-02-18,-6.6575347683524395
2024-02-19,-6.7715274279843145
2024-02-20,-6.494943367673784
2024-02-21,-6.264548174638223
2024-02-22,-6.372825650517788
2024-02-23,-6.490944321197738
2024-02-24,-6.327501530617618
2024-02-25,-6.499110499643411
2024-02-26,-6.110916849272307
2024-02-27,-6.2487108654962755
2024-02-28,-6.248302744089652
2024-02-29,-5.326235646087071
2024-03-01,-5.67380659833093
2024-03-02,-6.070168750431879
2024-03-03,-5.781716838193893
2024-03-04,-5.322462768406974
2024-03-05,-5.394410001812221
2024-03-06,-4.77584152637089
2024-03-07,-5.38813384864972
2024-03-08,-5.164175233184652
2024-03-09,-5.466179911229205
2024-03-10,-5.930993938918689
2024-03-11,-5.941486166941694
2024-03-12,-5.2418274300265635
2024-03-13,-5.2197755612999615
2024-03-14,-5.370215416254055
2024-03-15,-5.417893293851033
2024-03-16,-5.108615967973076
2024-03-17,-5.254486570827305
2024-03-18,-5.50678056518658
2024-03-19,-5.615128882693739
2024-03-20,-5.1736590750232825
2024-03-21,-5.270541647450735
2024-03-22,-5.491991725503223
2024-03-23,-5.527564634362861
2024-03-24,-5.9885506080782385
2024-03-25,-5.954718032758636
2024-03-26,-5.953755260111089
2024-03-27,-5.7590114023735275
2024-03-28,-5.6768566177203725
2024-03-29,-6.121296872406459
2024-03-30,-5.91716445363665
2024-03-31,-6.352965901662312
2024-04-01,-6.628134369512695
2024-04-02,-5.842273397907381
2024-04-03,-5.697582149025205
2024-04-04,-5.972599943889678
2024-04-05,-6.194769325307696
2024-04-06,-6.128146655923388
2024-04-07,-6.67304882844384
2024-04-08,-6.653978997188335
2024-04-09,-6.5297629171406575
2024-04-10,-6.362443212874618
2024-04-11,-6.239509800339357
2024-04-12,-6.479241102031625
2024-04-13,-4.993307851536677
2024-04-14,-4.963696125978526
2024-04-15,-5.227749828971579
2024-04-16,-5.436239361817218
2024-04-17,-5.336690760207386
2024-04-18,-5.483250238840365
2024-04-19,-5.491641511898963
2024-04-20,-5.419854698000614
2024-04-21,-5.917359340685374
2024-04-22,-6.081269115164725
2024-04-23,-6.070367458971605
2024-04-24,-6.166817140783477
2024-04-25,-4.847365896184621
2024-04-26,-5.582085613839847
2024-04-27,-5.5413332901977554
2024-04-28,-5.67815975554806
2024-04-29,-6.166417486568123
2024-04-30,-5.828038983184913
2024-05-01,-5.575076206551373
2024-05-02,-5.495608074323181
2024-05-03,-5.968768450890883
2024-05-04,-6.2658950974029555
2024-05-05,-6.5257882968524195
2024-05-06,-6.260744942520149
2024-05-07,-6.141593653871558
2024-05-08,-6.3006228515892495
2024-05-09,-6.11283775517158
2024-05-10,-6.4496404001696135
2024-05-11,-6.401670033621565
2024-05-12,-6.683737635842343
2024-05-13,-6.84848627063972
2024-05-14,-6.363920645677421
2024-05-15,-6.343671373773678
2024-05-16,-6.369260426349193
2024-05-17,-6.504270372635435
2024-05-18,-6.619571838883272
2024-05-19,-6.7971230224689805
2024-05-20,-6.6853792288260765
2024-05-21,-6.426791238889557
2024-05-22,-6.114684290933532
2024-05-23,-6.326886048650104
2024-05-24,-6.016585232793959
2024-05-25,-6.36773003638512
2024-05-26,-6.579913990203723
2024-05-27,-6.6606525647397605
2024-05-28,-6.507665253428231
2024-05-29,-6.290028989375794
2024-05-30,-6.50488911595906
2024-05-31,-6.594596109049595
2024-06-01,-6.698312239632857
2024-06-02,-7.162795603618999
2024-06-03,-6.959100438298847
2024-06-04,-6.8246262398709945
2024-06-05,-6.914788769409052
2024-06-06,-7.084580643369502
2024-06-07,-7.064048189961992
