Date,Predicted
2024-01-04,-6.066177222542281
2024-01-05,-6.034956491208891
2024-01-06,-5.677502561109484
2024-01-07,-5.683681505837496
2024-01-08,-5.917355542259054
2024-01-09,-5.518260842145614
2024-01-10,-5.5432473442296395
2024-01-11,-5.629907714318233
2024-01-12,-5.582481491042974
2024-01-13,-5.610735595002797
2024-01-14,-5.7957851579507915
2024-01-15,-5.986912397650414
2024-01-16,-5.90974155701702
2024-01-17,-6.011930823959505
2024-01-18,-6.017808001355866
2024-01-19,-6.07317937075279
2024-01-20,-6.036027182711671
2024-01-21,-6.36394172256643
2024-01-22,-6.338520292681398
2024-01-23,-6.035413695970882
2024-01-24,-6.1046080804614125
2024-01-25,-6.317299604162911
2024-01-26,-6.275905464830303
2024-01-27,-6.432471277175156
2024-01-28,-6.5942959105697705
2024-01-29,-6.494482263126589
2024-01-30,-6.513289983028491
2024-01-31,-6.523784782311933
2024-02-01,-6.367357498067993
2024-02-02,-6.503736281893951
2024-02-03,-6.634539771785948
2024-02-04,-6.661553433403607
2024-02-05,-6.782569562564968
2024-02-06,-6.745689058393465
2024-02-07,-6.719003863284925
2024-02-08,-6.694429622545682
2024-02-09,-6.755606924109682
2024-02-10,-6.660386619198114
2024-02-11,-6.699330682378615
2024-02-12,-6.777332877171944
2024-02-13,-6.484300213775219
2024-02-14,-6.591986677592598
2024-02-15,-6.694205959228092
2024-02-16,-6.616563221362901
2024-02-17,-6.595866073551766
2024-02-18,-6.672060002355083
2024-02-19,-6.825734798338701
2024-02-20,-6.536271598264911
2024-02-21,-6.46115454189077
2024-02-22,-6.501578413804583
2024-02-23,-6.532117346492714
2024-02-24,-6.431682713404357
2024-02-25,-6.517139303066057
2024-02-26,-6.374047878218143
2024-02-27,-6.499640313919154
2024-02-28,-6.230588651426638
2024-02-29,-5.691500394977443
2024-03-01,-5.74797564181329
2024-03-02,-6.377520012354003
2024-03-03,-6.10063880300577
2024-03-04,-6.019130336194468
2024-03-05,-5.520000150868773
2024-03-06,-5.413489499661049
2024-03-07,-5.771159588919628
2024-03-08,-5.532456133181539
2024-03-09,-5.633004241924271
2024-03-10,-5.67334780890944
2024-03-11,-5.72115084472525
2024-03-12,-5.434285525551247
2024-03-13,-5.519710946680441
2024-03-14,-5.666706163730688
2024-03-15,-5.3398183681880695
2024-03-16,-5.192885895695656
2024-03-17,-5.445532730362904
2024-03-18,-5.692506971797187
2024-03-19,-5.785160596843435
2024-03-20,-5.199738705240163
2024-03-21,-5.439864069648117
2024-03-22,-5.379693092484274
2024-03-23,-5.339152106639903
2024-03-24,-5.688218357713791
2024-03-25,-5.793653543986015
2024-03-26,-5.7930707820149046
2024-03-27,-5.668098575676423
2024-03-28,-5.69478564711334
2024-03-29,-5.967395508721857
2024-03-30,-5.86661948892934
2024-03-31,-6.225535927575503
2024-04-01,-6.506186095786685
2024-04-02,-6.049646235360622
2024-04-03,-5.803173397073988
2024-04-04,-6.181167485225579
2024-04-05,-6.165694514280796
2024-04-06,-6.033353989008579
2024-04-07,-6.51615285490103
2024-04-08,-6.486243652035617
2024-04-09,-6.383352382044894
2024-04-10,-6.345120153209665
2024-04-11,-6.334950458664213
2024-04-12,-6.380666329777778
2024-04-13,-5.491902162591153
2024-04-14,-5.563221170736291
2024-04-15,-5.60541273279449
2024-04-16,-5.039501102062696
2024-04-17,-5.014175973175901
2024-04-18,-5.270308570379511
2024-04-19,-5.347669762460699
2024-04-20,-5.333968742837117
2024-04-21,-5.710647437912926
2024-04-22,-5.884987424505929
2024-04-23,-5.887503211817012
2024-04-24,-5.714231222018853
2024-04-25,-5.2001148341099395
2024-04-26,-5.611876420601802
2024-04-27,-5.70101387461958
2024-04-28,-5.58201159381579
2024-04-29,-6.027049524250265
2024-04-30,-5.860276403285258
2024-05-01,-5.854335603823503
2024-05-02,-5.748133459647468
2024-05-03,-6.165869438310316
2024-05-04,-6.135705240922224
2024-05-05,-6.408223934662228
2024-05-06,-6.298670294990776
2024-05-07,-6.167507529434536
2024-05-08,-6.323357512248697
2024-05-09,-6.275271649403932
2024-05-10,-6.441588988242444
2024-05-11,-6.456302352784701
2024-05-12,-6.615084593204712
2024-05-13,-6.654104252153283
2024-05-14,-6.338410612143784
2024-05-15,-6.4103542189153595
2024-05-16,-6.449621607710154
2024-05-17,-6.557326415397687
2024-05-18,-6.564965961564607
2024-05-19,-6.586265191071505
2024-05-20,-6.586997332475461
2024-05-21,-6.380303432643741
2024-05-22,-6.261092822289541
2024-05-23,-6.370627001204521
2024-05-24,-5.820750195020427
2024-05-25,-6.3724863176390905
2024-05-26,-6.4954024367121255
2024-05-27,-6.557932625654315
2024-05-28,-6.463688907867376
2024-05-29,-6.385489602507716
2024-05-30,-6.50461183249022
2024-05-31,-6.499530143455175
2024-06-01,-6.623711785972103
