timestamp,0
2024-01-01,-6.0838954715514255
2024-01-02,-6.263857761191791
2024-01-03,-6.062048677432809
2024-01-04,-4.530042137028378
2024-01-05,-5.906306763244457
2024-01-06,-5.534502580857647
2024-01-07,-5.82238835268992
2024-01-08,-5.876396749211146
2024-01-09,-5.238876335923591
2024-01-10,-5.238187019519145
2024-01-11,-5.4677148850144395
2024-01-12,-5.644531016006148
2024-01-13,-5.5223103914078395
2024-01-14,-5.982212954025778
2024-01-15,-6.025435550440581
2024-01-16,-6.203011028316309
2024-01-17,-6.175016612220284
2024-01-18,-6.173786056032833
2024-01-19,-6.167149531268553
2024-01-20,-6.082703926997756
2024-01-21,-6.572516301411504
2024-01-22,-6.712443434084037
2024-01-23,-6.004597772461416
2024-01-24,-5.954167971352453
2024-01-25,-6.314138325622728
2024-01-26,-6.3870428193866475
2024-01-27,-6.578694398082981
2024-01-28,-6.880222972147644
2024-01-29,-6.5709902631812
2024-01-30,-6.689257643930275
2024-01-31,-6.5961451282577155
2024-02-01,-6.261173151663753
2024-02-02,-6.533734130374634
2024-02-03,-6.755118568675039
2024-02-04,-6.811139074808554
2024-02-05,-6.849507353633735
2024-02-06,-6.759441466504419
2024-02-07,-6.798836994575085
2024-02-08,-6.904416193163569
2024-02-09,-6.856273392811035
2024-02-10,-6.710115032689984
2024-02-11,-6.849855430335506
2024-02-12,-6.809711423014271
2024-02-13,-6.4368483692993195
2024-02-14,-6.471804359779451
2024-02-15,-6.68280947193854
2024-02-16,-6.467344004208549
2024-02-17,-6.477700019364285
2024-02-18,-6.659428602847552
2024-02-19,-6.776172041709032
2024-02-20,-6.4910560632426675
2024-02-21,-6.255215684876273
2024-02-22,-6.368065059175116
2024-02-23,-6.489158509845626
2024-02-24,-6.321824093457155
2024-02-25,-6.499099735431476
2024-02-26,-6.103403560893359
2024-02-27,-6.246119101679639
2024-02-28,-6.245309364626689
2024-02-29,-5.302645325619691
2024-03-01,-5.664057227109668
2024-03-02,-6.07205806747093
2024-03-03,-5.7783995123131415
2024-03-04,-5.3096491484073045
2024-03-05,-5.3874618488794175
2024-03-06,-4.7582855323343765
2024-03-07,-5.386262448864395
2024-03-08,-5.157764941662292
2024-03-09,-5.47062521156819
2024-03-10,-5.946623911507203
2024-03-11,-5.953057419657208
2024-03-12,-5.23421734995375
2024-03-13,-5.209509622672108
2024-03-14,-5.364733347942795
2024-03-15,-5.412832853989946
2024-03-16,-5.097584063558777
2024-03-17,-5.251830995712865
2024-03-18,-5.513447630568857
2024-03-19,-5.622358674282442
2024-03-20,-5.168263031152499
2024-03-21,-5.2681748303711835
2024-03-22,-5.495035188815252
2024-03-23,-5.529077059228689
2024-03-24,-5.9993813672805025
2024-03-25,-5.9627521720971375
2024-03-26,-5.960556167481366
2024-03-27,-5.757706350477884
2024-03-28,-5.671971377618405
2024-03-29,-6.1265687118120375
2024-03-30,-5.9152167953816335
2024-03-31,-6.362085986328055
2024-04-01,-6.641990653162867
2024-04-02,-5.835206652034331
2024-04-03,-5.687289859167898
2024-04-04,-5.968891110540461
2024-04-05,-6.197102727659024
2024-04-06,-6.127568875901403
2024-04-07,-6.686241150876661
2024-04-08,-6.666450315838688
2024-04-09,-6.5350583056783105
2024-04-10,-6.359847093095178
2024-04-11,-6.232539244782915
2024-04-12,-6.478150547143629
2024-04-13,-4.957101729377621
2024-04-14,-4.936593762112646
2024-04-15,-5.215599527997607
2024-04-16,-5.434697194152823
2024-04-17,-5.336038235004716
2024-04-18,-5.48862307736459
2024-04-19,-5.500036968242277
2024-04-20,-5.421401253002278
2024-04-21,-5.9264750193817175
2024-04-22,-6.090027884085651
2024-04-23,-6.075873552625197
2024-04-24,-6.171525475529128
2024-04-25,-4.8197515156227695
2024-04-26,-5.5764053872440265
2024-04-27,-5.5347379596743576
2024-04-28,-5.677303743129519
2024-04-29,-6.178810557995789
2024-04-30,-5.831880008020385
2024-05-01,-5.574538571423001
2024-05-02,-5.488680842403526
2024-05-03,-5.973000876812177
2024-05-04,-6.274544255516661
2024-05-05,-6.537558522789134
2024-05-06,-6.265186875705959
2024-05-07,-6.141887317762986
2024-05-08,-6.3026486913704876
2024-05-09,-6.107183971138392
2024-05-10,-6.45195578167529
2024-05-11,-6.402673956718762
2024-05-12,-6.692406746739676
2024-05-13,-6.858688498316336
2024-05-14,-6.359495230331928
2024-05-15,-6.3388923141940925
2024-05-16,-6.364119193557854
2024-05-17,-6.502956668138058
2024-05-18,-6.620628132806761
2024-05-19,-6.802935765082931
2024-05-20,-6.688984868192654
2024-05-21,-6.422738778679079
2024-05-22,-6.103222902641255
2024-05-23,-6.321699119878625
2024-05-24,-6.005282852605921
2024-05-25,-6.367212776293692
2024-05-26,-6.586066873412264
2024-05-27,-6.668621992399211
2024-05-28,-6.510270495513904
2024-05-29,-6.2852706851123745
2024-05-30,-6.50510730328647
2024-05-31,-6.594185310144748
2024-06-01,-6.699313691643024
2024-06-02,-7.17428652175321
2024-06-03,-6.963846501308421
2024-06-04,-6.824588494814209
2024-06-05,-6.914564756737798
2024-06-06,-7.086760549214198
2024-06-07,-7.063790205396427
2024-06-08,-5.535568443832467
2024-06-09,-6.614379224996212
2024-06-10,-6.80143344310633
2024-06-11,-6.589798005148314
2024-06-12,-5.969063718145485
2024-06-13,-6.0863196353986115
2024-06-14,-6.282930034630132
2024-06-15,-6.097848420779291
2024-06-16,-6.643521447853389
2024-06-17,-6.611872898437355
2024-06-18,-6.017070274040806
2024-06-19,-5.505213899056446
2024-06-20,-6.176251416440087
2024-06-21,-6.147618389812242
