Date,Predicted
2024-01-31,-5.895577992400084
2024-02-01,-5.84101077328995
2024-02-02,-5.769462671675424
2024-02-03,-5.570300973013842
2024-02-04,-5.612188196545737
2024-02-05,-5.619669828997561
2024-02-06,-5.740199819357999
2024-02-07,-5.637783364216371
2024-02-08,-5.48650986625306
2024-02-09,-5.520722674635851
2024-02-10,-5.4724081909577516
2024-02-11,-5.604655709474363
2024-02-12,-5.469813214742803
2024-02-13,-5.561357960133724
2024-02-14,-5.629531458898999
2024-02-15,-5.7530423433788584
2024-02-16,-5.743291897390782
2024-02-17,-5.815557258272078
2024-02-18,-5.744559497517999
2024-02-19,-5.805667417905192
2024-02-20,-5.8987051154910874
2024-02-21,-5.987839772830116
2024-02-22,-5.940383672734248
2024-02-23,-6.041692447788876
2024-02-24,-6.107285223390828
2024-02-25,-6.197815680665861
2024-02-26,-6.1872485024971535
2024-02-27,-6.294127927825569
2024-02-28,-6.3705827636430055
2024-02-29,-6.2891906932383295
2024-03-01,-6.325026871293017
2024-03-02,-6.375121241835314
2024-03-03,-6.455845431837963
2024-03-04,-6.491067519168668
2024-03-05,-6.470806743388751
2024-03-06,-6.359258569289943
2024-03-07,-6.460799924367333
2024-03-08,-6.533059947562157
2024-03-09,-6.4551224388169945
2024-03-10,-6.541032866478286
2024-03-11,-6.496163978431791
2024-03-12,-6.561255396459769
2024-03-13,-6.549654501179928
2024-03-14,-6.610850893717689
2024-03-15,-6.58650198633802
2024-03-16,-6.5358009870086216
2024-03-17,-6.571920973014195
2024-03-18,-6.485233999385951
2024-03-19,-6.533537756316585
2024-03-20,-6.395755319466452
2024-03-21,-6.335086576213189
2024-03-22,-6.287824271768817
2024-03-23,-6.235597007468203
2024-03-24,-6.411368022222175
2024-03-25,-6.460486330875236
2024-03-26,-6.177315449890402
2024-03-27,-6.084143969441811
2024-03-28,-6.135345298977779
2024-03-29,-6.213668685174031
2024-03-30,-6.278685643274127
2024-03-31,-6.393669056786565
2024-04-01,-6.092137809059197
2024-04-02,-5.824220725544419
2024-04-03,-5.904085334255565
2024-04-04,-5.989799937207448
2024-04-05,-5.862874151655776
2024-04-06,-5.468877436061108
2024-04-07,-5.429951642627298
2024-04-08,-5.549713114034126
2024-04-09,-5.623519067441361
2024-04-10,-5.713341590617866
2024-04-11,-5.451979196991519
2024-04-12,-5.387385945947047
2024-04-13,-5.4867197984568525
2024-04-14,-5.585835520604736
2024-04-15,-5.634085415925323
2024-04-16,-5.390436121415559
2024-04-17,-5.470055167098334
2024-04-18,-5.38429454287857
2024-04-19,-5.3119367462994775
2024-04-20,-5.2766022221714985
2024-04-21,-5.384704465396849
2024-04-22,-5.469038383214391
2024-04-23,-5.55995793310809
2024-04-24,-5.636907452963287
2024-04-25,-5.659621313506726
2024-04-26,-5.709244157465756
2024-04-27,-5.769590187750659
2024-04-28,-5.86175001398207
2024-04-29,-5.949726214481929
2024-04-30,-5.9687446169282685
2024-05-01,-6.013501528614072
2024-05-02,-5.932198893341615
2024-05-03,-5.85310919202051
2024-05-04,-5.950332850101569
2024-05-05,-6.004907394980087
2024-05-06,-6.032538067317946
2024-05-07,-6.091289846211899
2024-05-08,-6.151935250315724
2024-05-09,-6.124451414175157
2024-05-10,-6.1024319363024535
2024-05-11,-6.162160202975137
2024-05-12,-6.235967923830093
2024-05-13,-5.395398078141282
2024-05-14,-5.176312420221661
2024-05-15,-5.193517024351389
2024-05-16,-5.237989875146919
2024-05-17,-5.312244046760652
2024-05-18,-5.386962361651722
2024-05-19,-5.458815074554925
2024-05-20,-5.568565680374438
2024-05-21,-5.437571536626441
2024-05-22,-5.553794338290548
2024-05-23,-5.598730242755173
2024-05-24,-5.707305711330357
2024-05-25,-5.589749149074541
2024-05-26,-5.605158004712692
2024-05-27,-5.714587598735073
2024-05-28,-5.822774175276862
2024-05-29,-5.884818158599997
2024-05-30,-5.969876143011079
2024-05-31,-5.885290854142486
2024-06-01,-5.96443698055957
2024-06-02,-6.0437401801148605
2024-06-03,-5.998471788462887
2024-06-04,-6.075867940836242
2024-06-05,-6.128771277876674
2024-06-06,-6.185575458624892
2024-06-07,-6.229040271358677
2024-06-08,-6.266850788208666
2024-06-09,-6.255390845026118
2024-06-10,-6.194444251812269
2024-06-11,-6.222548276299268
2024-06-12,-6.236315732543117
2024-06-13,-6.3096765205446275
2024-06-14,-6.283871548308138
2024-06-15,-6.2023046370402355
2024-06-16,-6.258308754506669
2024-06-17,-6.222369251400563
2024-06-18,-6.245698056369118
2024-06-19,-6.183961285578765
2024-06-20,-6.032065161703176
2024-06-21,-6.088057484900457
2024-06-22,-6.1399288138530865
2024-06-23,-6.208322005696751
2024-06-24,-6.199330133178084
2024-06-25,-6.215270932770807
2024-06-26,-6.2649852187377775
2024-06-27,-6.27131812172619
2024-06-28,-6.307371491872261
2024-06-29,-6.332330026828386
2024-06-30,-6.367785356531571
2024-07-01,-6.409632668014625
2024-07-02,-6.5299238064715075
2024-07-03,-6.517486678423552
2024-07-04,-6.476984051539176
2024-07-05,-6.598697036743407
2024-07-06,-6.525809311335081
2024-07-07,-6.670851503222135
2024-07-08,-6.3571563040746035
2024-07-09,-6.193935270170565
2024-07-10,-6.227245132256118
2024-07-11,-6.271818277979719
2024-07-12,-6.195244909492857
2024-07-13,-6.167254444037934
2024-07-14,-6.086813291909683
2024-07-15,-6.114198636871506
2024-07-16,-6.156846638463729
2024-07-17,-6.179649955369874
2024-07-18,-6.074716545945768
2024-07-19,-5.927306757799777
2024-07-20,-5.98765763593512
2024-07-21,-6.034763360375543
