Date,Predicted
2024-01-02,-6.059882689334604
2024-01-03,-6.06268445428141
2024-01-04,-4.848948579187541
2024-01-05,-5.76146424719016
2024-01-06,-5.546111720422542
2024-01-07,-5.854197344799187
2024-01-08,-5.985830631238364
2024-01-09,-5.188701695490241
2024-01-10,-5.088185734823837
2024-01-11,-5.464725370379686
2024-01-12,-5.5923949229920655
2024-01-13,-5.583394935794976
2024-01-14,-5.912082650984042
2024-01-15,-6.157631517512998
2024-01-16,-6.363494707679629
2024-01-17,-6.234983052088187
2024-01-18,-6.171037536899725
2024-01-19,-6.203318739400613
2024-01-20,-5.972082607508985
2024-01-21,-6.684408229601148
2024-01-22,-6.906594727911032
2024-01-23,-6.0611444282892215
2024-01-24,-5.882477005440323
2024-01-25,-6.437080889123235
2024-01-26,-6.507524287818612
2024-01-27,-6.701356348504681
2024-01-28,-6.962101223379333
2024-01-29,-6.720640956420283
2024-01-30,-6.796069086259147
2024-01-31,-6.6456085860323215
2024-02-01,-6.267124826886778
2024-02-02,-6.590324711303244
2024-02-03,-6.883992754058724
2024-02-04,-6.968588993470411
2024-02-05,-6.939512716768007
2024-02-06,-6.757392590565932
2024-02-07,-6.915056907704145
2024-02-08,-6.995156392207762
2024-02-09,-6.819485009021867
2024-02-10,-6.7840301871523065
2024-02-11,-6.854012541578535
2024-02-12,-6.91612227655457
2024-02-13,-6.395882116170604
2024-02-14,-6.535869330631922
2024-02-15,-6.77251539168463
2024-02-16,-6.482365067856586
2024-02-17,-6.584406058770437
2024-02-18,-6.720744676358111
2024-02-19,-6.942837205404198
2024-02-20,-6.53016009089951
2024-02-21,-6.180524706240027
2024-02-22,-6.393748827088272
2024-02-23,-6.533817737987363
2024-02-24,-6.472126059298343
2024-02-25,-6.676768255315866
2024-02-26,-5.8687025538146615
2024-02-27,-6.229645478699238
2024-02-28,-6.387429439296166
2024-02-29,-5.835065522487102
2024-03-01,-5.728634813273651
2024-03-02,-6.394128515840363
2024-03-03,-5.572956470123954
2024-03-04,-5.102891774489875
2024-03-05,-5.448290955605251
2024-03-06,-5.517824808124686
2024-03-07,-5.247074926363515
2024-03-08,-4.799846357406189
2024-03-09,-5.440453048496413
2024-03-10,-6.172375511545428
2024-03-11,-6.119939445446137
2024-03-12,-5.295792945425382
2024-03-13,-4.876161543927489
2024-03-14,-5.183360492690635
2024-03-15,-5.41622033332246
2024-03-16,-5.133852129806041
2024-03-17,-5.342684243691434
2024-03-18,-5.369072953053852
2024-03-19,-5.691038720041724
2024-03-20,-5.045474792001387
2024-03-21,-5.1456766217929015
2024-03-22,-5.357895369500099
2024-03-23,-5.525382775888126
2024-03-24,-6.140183691892529
2024-03-25,-6.03631872928048
2024-03-26,-6.022914016141525
2024-03-27,-5.748059108703765
2024-03-28,-5.6633564093643525
2024-03-29,-6.183986992208754
2024-03-30,-6.009996029727739
2024-03-31,-6.551073614135878
2024-04-01,-6.892342527823765
2024-04-02,-5.898567131066667
2024-04-03,-5.460795848315758
2024-04-04,-5.882983709782785
2024-04-05,-6.277964323377759
2024-04-06,-6.240913508650706
2024-04-07,-6.866021000530615
2024-04-08,-6.896689773567986
2024-04-09,-6.682988982028217
2024-04-10,-6.391172378856556
2024-04-11,-6.151608268051138
2024-04-12,-6.544467685564421
2024-04-13,-5.701098273048046
2024-04-14,-4.699890225999232
2024-04-15,-4.684763536710182
2024-04-16,-5.288048324178154
2024-04-17,-5.2738272303678615
2024-04-18,-5.5116025329477765
2024-04-19,-5.576226280656738
2024-04-20,-5.457428676246634
2024-04-21,-6.017387253112668
2024-04-22,-5.940664453109106
2024-04-23,-6.091039018199443
2024-04-24,-6.162449326778194
2024-04-25,-5.004526987992662
2024-04-26,-5.3634389908523
2024-04-27,-5.444556747614311
2024-04-28,-5.72932846102402
2024-04-29,-6.416564504330204
2024-04-30,-5.99507739171397
2024-05-01,-5.782736448445533
2024-05-02,-5.341815508653765
2024-05-03,-6.154135942717135
2024-05-04,-6.454448675569185
2024-05-05,-6.587977927859189
2024-05-06,-6.4167261761713235
2024-05-07,-6.326370815196586
2024-05-08,-6.489486781909491
2024-05-09,-6.270216021219113
2024-05-10,-6.629256761053846
2024-05-11,-6.542924363645047
2024-05-12,-6.684001620545361
