Date,Predicted
2024-01-09,-5.082237502562782
2024-01-10,-5.4755492291636125
2024-01-11,-5.606545653751736
2024-01-12,-5.607711744149776
2024-01-13,-5.916767227441639
2024-01-14,-6.161108387060884
2024-01-15,-6.3585713470834335
2024-01-16,-6.242021191339274
2024-01-17,-6.1799336519280725
2024-01-18,-6.201993467533228
2024-01-19,-5.9802855997604025
2024-01-20,-6.679478681686342
2024-01-21,-6.908423469431307
2024-01-22,-6.0640114026906815
2024-01-23,-5.881958101619488
2024-01-24,-6.442397909114003
2024-01-25,-6.511139421608508
2024-01-26,-6.7031919132137805
2024-01-27,-6.962214994941908
2024-01-28,-6.721759977641485
2024-01-29,-6.811686688985838
2024-01-30,-6.645197817045984
2024-01-31,-6.2636532899222
2024-02-01,-6.589885385737918
2024-02-02,-6.884719583093176
2024-02-03,-6.968164998049525
2024-02-04,-6.939058749536399
2024-02-05,-6.757624605035952
2024-02-06,-6.915553410632468
2024-02-07,-6.9943887585084665
2024-02-08,-6.818128309227518
2024-02-09,-6.769140381045329
2024-02-10,-6.853176413493398
2024-02-11,-6.915027640274051
2024-02-12,-6.393897681958261
2024-02-13,-6.533847285214564
2024-02-14,-6.773154448547658
2024-02-15,-6.5036605547591275
2024-02-16,-6.581595546868034
2024-02-17,-6.720253264653011
2024-02-18,-6.941194271846734
2024-02-19,-6.5286259623219305
2024-02-20,-6.177272360821673
2024-02-21,-6.392452903248112
2024-02-22,-6.551586858959895
2024-02-23,-6.472032853460325
2024-02-24,-6.677588052067898
2024-02-25,-5.872832990791029
2024-02-26,-6.228199578098534
2024-02-27,-6.385639684640662
2024-02-28,-5.845902033025205
2024-02-29,-5.70640592567844
2024-03-01,-6.389985425990155
2024-03-02,-5.576452970260062
2024-03-03,-5.102426649471508
2024-03-04,-5.4504461747833055
2024-03-05,-5.522364030392885
2024-03-06,-5.220771625020754
2024-03-07,-4.802711311035887
2024-03-08,-5.453587824230724
2024-03-09,-6.165877671265752
2024-03-10,-6.120614583527591
2024-03-11,-5.2962447965778985
2024-03-12,-4.902250571553418
2024-03-13,-5.181720040266256
2024-03-14,-5.412327871277003
2024-03-15,-5.139117878500548
2024-03-16,-5.346531358095254
2024-03-17,-5.400319522498261
2024-03-18,-5.691019836547647
2024-03-19,-5.030579801976915
2024-03-20,-5.1452059960606125
2024-03-21,-5.357151374323139
2024-03-22,-5.52833883631578
2024-03-23,-6.154794349667595
2024-03-24,-6.0359474212205715
2024-03-25,-6.022281557719311
2024-03-26,-5.7471054381213795
2024-03-27,-5.661759650172857
2024-03-28,-6.185668397743523
2024-03-29,-6.009200867529634
2024-03-30,-6.551660196650753
2024-03-31,-6.884327622155148
2024-04-01,-5.8979838349038305
2024-04-02,-5.48682981935612
2024-04-03,-5.883661555034725
2024-04-04,-6.286131625531522
2024-04-05,-6.24095983144767
2024-04-06,-6.865023616072829
2024-04-07,-6.890028293132025
2024-04-08,-6.6820173440054935
2024-04-09,-6.386934011429355
2024-04-10,-6.1719104595304595
2024-04-11,-6.543930390199273
2024-04-12,-5.790439917420328
2024-04-13,-4.707377027467329
2024-04-14,-4.686068000067927
2024-04-15,-5.287578322719192
2024-04-16,-5.274622440978173
2024-04-17,-5.512202700082086
2024-04-18,-5.5734755079002465
2024-04-19,-5.455909757068777
2024-04-20,-6.018747161259283
2024-04-21,-5.940897106759479
2024-04-22,-6.094164786939449
2024-04-23,-6.158570184472896
2024-04-24,-4.9894253644498345
2024-04-25,-5.363826735399669
2024-04-26,-5.443575624174166
2024-04-27,-5.720150891423002
2024-04-28,-6.4166428613384685
2024-04-29,-5.995704840961782
2024-04-30,-5.784219836825252
2024-05-01,-5.355129940366571
2024-05-02,-6.154956741360802
2024-05-03,-6.476019034053555
2024-05-04,-6.587646476572541
2024-05-05,-6.416760833500669
2024-05-06,-6.304879525866235
2024-05-07,-6.4896889656516406
2024-05-08,-6.268787309042744
2024-05-09,-6.627561856637345
2024-05-10,-6.5389348547915676
2024-05-11,-6.684472435630666
2024-05-12,-6.977572565638457
2024-05-13,-6.512120280698508
2024-05-14,-6.511278372378485
2024-05-15,-6.4207923678613685
2024-05-16,-6.472643003984484
2024-05-17,-6.662317642364931
2024-05-18,-6.725856444913162
2024-05-19,-6.788230286296571
2024-05-20,-6.42019361727592
2024-05-21,-5.745430895995701
2024-05-22,-6.3606861580656355
2024-05-23,-6.015488435743837
2024-05-24,-6.498759346914544
2024-05-25,-6.653539605936408
2024-05-26,-6.783342857207407
2024-05-27,-6.649324611612208
2024-05-28,-6.337108862693672
2024-05-29,-6.65404402265471
2024-05-30,-6.686807630483095
2024-05-31,-6.834727508858407
2024-06-01,-7.243690482412866
2024-06-02,-7.1198659241175255
2024-06-03,-6.878237872872131
2024-06-04,-7.0292075404063015
2024-06-05,-7.199352515910949
2024-06-06,-7.164570958484282
2024-06-07,-6.619899243359545
2024-06-08,-6.369394927552773
2024-06-09,-6.710930122328859
2024-06-10,-6.643599814478182
2024-06-11,-5.893534437019553
2024-06-12,-6.048631777256599
2024-06-13,-6.394352322313373
2024-06-14,-5.945402740942823
2024-06-15,-6.697116719984849
2024-06-16,-6.736033404088526
2024-06-17,-6.098950548898395
2024-06-18,-5.32575438934008
2024-06-19,-5.996022420163448
2024-06-20,-6.137238142793418
2024-06-21,-6.195578520711942
2024-06-22,-6.6135078140082415
2024-06-23,-6.593853305815982
2024-06-24,-5.9225310344028985
2024-06-25,-6.609308662924582
2024-06-26,-6.535121801078204
2024-06-27,-6.71568705694342
2024-06-28,-6.61400042088241
2024-06-29,-7.012050555555712
2024-06-30,-6.804364876688488
2024-07-01,-6.642533717172203
2024-07-02,-6.773485827000259
2024-07-03,-6.602154619248486
2024-07-04,-5.929291903373285
2024-07-05,-5.445244439566361
2024-07-06,-6.418051101114246
2024-07-07,-6.1625893415855995
2024-07-08,-5.12266377479703
2024-07-09,-6.056401975797604
2024-07-10,-6.339468847429748
2024-07-11,-6.3242877636486
2024-07-12,-6.622611125962344
2024-07-13,-6.752088040383749
2024-07-14,-6.580039633046409
2024-07-15,-6.282062127296428
2024-07-16,-6.239656352319815
2024-07-17,-6.527979532599345
2024-07-18,-6.509176337028229
2024-07-19,-6.588067834911311
2024-07-20,-6.689233299558271
2024-07-21,-6.592718210842583
2024-07-22,-6.692007078907176
2024-07-23,-6.260003596871766
2024-07-24,-6.47139036773124
2024-07-25,-6.321345142622734
2024-07-26,-6.773251496931078
2024-07-27,-6.617250950734476
2024-07-28,-7.013994053022292
2024-07-29,-6.668766920137283
2024-07-30,-6.7565750747823365
2024-07-31,-6.648996343591233
2024-08-01,-6.367123262805719
2024-08-02,-6.068486722134898
2024-08-03,-5.750081702257007
2024-08-04,-6.107324259610085
2024-08-05,-5.501244432685505
2024-08-06,-5.807239166092453
2024-08-07,-5.86695579424023
2024-08-08,-6.186551340284988
2024-08-09,-5.866133917729479
2024-08-10,-6.6250658826512865
2024-08-11,-6.461475946007411
2024-08-12,-6.080886835439173
2024-08-13,-6.350393887754829
2024-08-14,-6.449845175542457
2024-08-15,-6.486843405438053
2024-08-16,-6.258031477553353
2024-08-17,-6.754131841472867
2024-08-18,-6.680027777870974
2024-08-19,-6.572818866717
2024-08-20,-6.360080194741813
2024-08-21,-6.377724943680012
2024-08-22,-6.457315183449618
2024-08-23,-6.617436248877821
2024-08-24,-6.366166820894888
2024-08-25,-6.580726426972287
2024-08-26,-6.485356324593361
2024-08-27,-6.294836216439884
2024-08-28,-6.138333042180838
2024-08-29,-6.553219672144812
2024-08-30,-6.557903502479606
2024-08-31,-6.823713387207929
2024-09-01,-6.546248119636186
2024-09-02,-6.552386280610714
2024-09-03,-6.466297819502673
2024-09-04,-6.263641492553271
2024-09-05,-6.5750656014099285
2024-09-06,-6.22399631698308
2024-09-07,-6.618278988839399
2024-09-08,-6.479351363458772
2024-09-09,-6.505340373957228
2024-09-10,-6.6233697042101145
2024-09-11,-6.547115011056498
2024-09-12,-6.72822787567911
2024-09-13,-6.685850736451984
2024-09-14,-6.83366922862611
2024-09-15,-6.802276929365302
2024-09-16,-6.557033611256349
2024-09-17,-6.621183218825343
