Date,Predicted
2024-01-08,-5.634290902157692
2024-01-09,-5.608896867788404
2024-01-10,-5.637303156678918
2024-01-11,-5.813630421892362
2024-01-12,-5.995848967345086
2024-01-13,-5.917039957517879
2024-01-14,-6.043481386339719
2024-01-15,-6.030577506439585
2024-01-16,-6.077666334554023
2024-01-17,-6.047286920749915
2024-01-18,-6.390393647954039
2024-01-19,-6.333700109160026
2024-01-20,-6.042249218204955
2024-01-21,-6.107426938987666
2024-01-22,-6.3237718968621435
2024-01-23,-6.2808432923600765
2024-01-24,-6.437507202517744
2024-01-25,-6.594709592140353
2024-01-26,-6.499033978651374
2024-01-27,-6.512869030517045
2024-01-28,-6.522808450582577
2024-01-29,-6.367556204834033
2024-01-30,-6.505439597276897
2024-01-31,-6.633498070040818
2024-02-01,-6.660058364829831
2024-02-02,-6.7838646578417885
2024-02-03,-6.747658342580069
2024-02-04,-6.720762622213384
2024-02-05,-6.692848750459476
2024-02-06,-6.750490263996158
2024-02-07,-6.662425427407931
2024-02-08,-6.694340873006072
2024-02-09,-6.776865907652479
2024-02-10,-6.470810086119668
2024-02-11,-6.583148372924673
2024-02-12,-6.69787097870003
2024-02-13,-6.609763739063622
2024-02-14,-6.586031804140087
2024-02-15,-6.686500519137728
2024-02-16,-6.828168853444803
2024-02-17,-6.538025016948187
2024-02-18,-6.486340942770147
2024-02-19,-6.488773232518342
2024-02-20,-6.537546966103355
2024-02-21,-6.412118761278288
2024-02-22,-6.542095435812965
2024-02-23,-6.366009711450144
2024-02-24,-6.489775664398099
2024-02-25,-6.226825303242019
2024-02-26,-5.685224625839323
2024-02-27,-5.757123370428287
2024-02-28,-6.369077742506885
2024-02-29,-6.098191887338446
2024-03-01,-6.003998789909082
2024-03-02,-5.5225517536149855
2024-03-03,-5.414103223927217
2024-03-04,-5.780631103750877
2024-03-05,-5.543249568334875
2024-03-06,-5.667537793316761
2024-03-07,-5.67442085651315
2024-03-08,-5.752186341672761
2024-03-09,-5.424289549259531
2024-03-10,-5.513672611445785
2024-03-11,-5.66127719201194
2024-03-12,-5.322392830895151
2024-03-13,-5.195170174383082
2024-03-14,-5.444171715481771
2024-03-15,-5.697766052808186
2024-03-16,-5.78772002622487
2024-03-17,-5.222192012627003
2024-03-18,-5.438192093697639
2024-03-19,-5.384748365026571
2024-03-20,-5.335233270255811
2024-03-21,-5.680332138036966
2024-03-22,-5.782757591092071
2024-03-23,-5.778761203448925
2024-03-24,-5.666823440057247
2024-03-25,-5.695439475052551
2024-03-26,-5.9661536668549555
2024-03-27,-5.867576206860172
2024-03-28,-6.226972211795415
2024-03-29,-6.50861685442478
2024-03-30,-6.045132158252825
2024-03-31,-5.84472691433996
2024-04-01,-6.178424286413904
2024-04-02,-6.174977613065863
2024-04-03,-6.031787910946408
2024-04-04,-6.484897971776177
2024-04-05,-6.487499373086356
2024-04-06,-6.38403148247738
2024-04-07,-6.349003450862043
2024-04-08,-6.332525032412839
2024-04-09,-6.377460900814725
2024-04-10,-5.44265076865835
2024-04-11,-5.565847035223083
2024-04-12,-5.666062238740683
2024-04-13,-5.041214916087603
2024-04-14,-5.016203514216378
2024-04-15,-5.267484236078645
2024-04-16,-5.349442308999074
2024-04-17,-5.335802246616055
2024-04-18,-5.7117813225551135
2024-04-19,-5.8857543702617425
2024-04-20,-5.888070749022756
2024-04-21,-5.714204657380698
2024-04-22,-5.205478715988357
2024-04-23,-5.610365332694416
2024-04-24,-5.698781034027888
2024-04-25,-5.58073599590564
2024-04-26,-6.027176716149807
2024-04-27,-5.858768138891239
2024-04-28,-5.852698456874984
2024-04-29,-5.750587423741307
2024-04-30,-6.167405368759525
2024-05-01,-6.149405519573198
2024-05-02,-6.404632864381689
2024-05-03,-6.3086069113929355
2024-05-04,-6.163654489900553
2024-05-05,-6.321525110212371
2024-05-06,-6.259898624042993
2024-05-07,-6.439186952405381
2024-05-08,-6.451239445068021
2024-05-09,-6.612341236140028
2024-05-10,-6.692730127341775
2024-05-11,-6.3358035578519365
2024-05-12,-6.410230255739686
2024-05-13,-6.4473585392971255
2024-05-14,-6.543907449141078
2024-05-15,-6.571673579249746
2024-05-16,-6.590563482410426
2024-05-17,-6.590379783657186
2024-05-18,-6.401491520120312
2024-05-19,-6.246686717450462
2024-05-20,-6.366576200050904
2024-05-21,-5.8010330885692225
2024-05-22,-6.37363679710583
2024-05-23,-6.498793550420623
2024-05-24,-6.561603529169744
2024-05-25,-6.464960854877004
2024-05-26,-6.385978506371477
2024-05-27,-6.518215828282312
2024-05-28,-6.493375511386474
2024-05-29,-6.625971885406436
2024-05-30,-6.813300281179015
2024-05-31,-6.832795624899966
2024-06-01,-6.780984710356771
2024-06-02,-6.897798390980584
2024-06-03,-6.966933769157974
2024-06-04,-7.018257950372439
2024-06-05,-6.389162281412832
2024-06-06,-6.739729183330788
2024-06-07,-6.981967711137384
2024-06-08,-6.469893782243771
2024-06-09,-5.887873860907227
2024-06-10,-6.292838196489183
2024-06-11,-6.528131476911464
2024-06-12,-6.19137938338834
2024-06-13,-6.55280625636503
2024-06-14,-6.438805333712549
2024-06-15,-6.234500790008085
2024-06-16,-5.700105037312249
2024-06-17,-6.420816362135315
2024-06-18,-6.180193190797878
2024-06-19,-6.018713502833246
2024-06-20,-6.303920824147431
2024-06-21,-6.405794961728482
2024-06-22,-6.110993341115221
2024-06-23,-6.417778074270184
2024-06-24,-6.509528996161297
2024-06-25,-6.56633721976174
2024-06-26,-6.463057230850793
2024-06-27,-6.689755523044012
2024-06-28,-6.631358141640858
2024-06-29,-6.620129694578941
2024-06-30,-6.685326459881334
2024-07-01,-6.507091113975189
2024-07-02,-6.287318979230831
2024-07-03,-6.170831090671499
2024-07-04,-6.363935313996544
2024-07-05,-6.106254618820692
2024-07-06,-5.704429488761134
2024-07-07,-6.256435345525941
2024-07-08,-6.0602309455990016
2024-07-09,-6.099815740325724
2024-07-10,-6.2389066025694335
2024-07-11,-6.400427294399878
2024-07-12,-6.411420413462979
2024-07-13,-6.408252793550355
2024-07-14,-6.34017360818584
2024-07-15,-6.325772034144236
2024-07-16,-6.370733153476097
2024-07-17,-6.477975683661985
2024-07-18,-6.553641389533286
2024-07-19,-6.519940202097144
2024-07-20,-6.50512887127244
2024-07-21,-6.459028760882663
2024-07-22,-6.589513575984914
2024-07-23,-6.269064213480316
2024-07-24,-6.523412919519855
2024-07-25,-6.559401937660472
2024-07-26,-6.689681950181409
2024-07-27,-6.528742588012202
2024-07-28,-6.631291597704021
2024-07-29,-6.540758346406897
2024-07-30,-6.406446453108445
2024-07-31,-6.240933070068071
2024-08-01,-6.401280883414446
2024-08-02,-6.396160388341266
2024-08-03,-5.714706120872421
2024-08-04,-5.996766464385542
2024-08-05,-5.878142337998775
2024-08-06,-6.244759863961459
2024-08-07,-6.480886403150288
2024-08-08,-6.596343653597776
2024-08-09,-5.996754864803401
2024-08-10,-6.142293267040591
2024-08-11,-6.342407925426571
2024-08-12,-6.321224188350738
2024-08-13,-6.349790614494867
2024-08-14,-6.319420777459795
2024-08-15,-6.542572333166488
2024-08-16,-6.529170541600291
2024-08-17,-6.492631117065994
2024-08-18,-6.443181777378293
2024-08-19,-6.450844729841357
2024-08-20,-6.49291855156351
2024-08-21,-6.537502225935031
2024-08-22,-6.444654293755164
2024-08-23,-6.571561668846064
2024-08-24,-6.400337672215763
2024-08-25,-6.456440741064554
2024-08-26,-6.33170855675883
2024-08-27,-6.456664909434739
2024-08-28,-6.426079435880995
2024-08-29,-6.5874096799845105
2024-08-30,-6.5625834129395955
2024-08-31,-6.570196097671909
2024-09-01,-6.581282524999095
2024-09-02,-6.402588263566326
2024-09-03,-6.452429725427253
2024-09-04,-6.293388829474364
2024-09-05,-6.487220130523305
2024-09-06,-6.442996131093899
2024-09-07,-6.509130346134151
2024-09-08,-6.513177325445934
2024-09-09,-6.4614650712110135
2024-09-10,-6.573124953422793
2024-09-11,-6.5922174071571575
2024-09-12,-6.673810703167341
2024-09-13,-6.638030812430218
2024-09-14,-6.559521091359955
2024-09-15,-6.56801803978486
2024-09-16,-6.34372691315197
2024-09-17,-6.608479070758359
2024-09-18,-6.564413462015983
2024-09-19,-6.719398748347927
2024-09-20,-6.573860903716911
2024-09-21,-6.539466139204245
2024-09-22,-6.543911954261612
2024-09-23,-6.481550077266947
2024-09-24,-6.610398042650465
2024-09-25,-6.583316639665597
2024-09-26,-6.7814432443273205
2024-09-27,-6.526233257808587
2024-09-28,-6.49550823414897
2024-09-29,-6.303614150812999
2024-09-30,-6.4705937331976635
2024-10-01,-6.198962176604851
2024-10-02,-6.29739793127052
2024-10-03,-6.550443806193104
2024-10-04,-6.600410304373409
2024-10-05,-6.457831713716778
2024-10-06,-6.510793332727464
2024-10-07,-6.527038910621615
2024-10-08,-6.557421630506615
2024-10-09,-6.694548743218441
2024-10-10,-6.8130012178610535
2024-10-11,-6.759860243893229
2024-10-12,-6.649513560646919
2024-10-13,-6.522482900342034
2024-10-14,-6.7027357489358375
2024-10-15,-6.501820331140448
2024-10-16,-6.768952084439043
2024-10-17,-6.7863770554628795
2024-10-18,-6.731466384625078
2024-10-19,-6.590202954341739
2024-10-20,-6.649969760607808
2024-10-21,-6.526274525364738
2024-10-22,-6.613834953790349
2024-10-23,-6.441270898147674
2024-10-24,-6.625319149818327
2024-10-25,-6.816728144077041
2024-10-26,-6.46972309743037
2024-10-27,-6.606326647254615
2024-10-28,-6.648667972942522
2024-10-29,-6.6192720995736805
2024-10-30,-6.4885616121971115
2024-10-31,-6.661799195842388
2024-11-01,-6.427610694748866
2024-11-02,-6.5362161900046045
